run,iteration,metric,value,unit
all_mit_off,0,SVG Files To PNG,32.353,s
all_mit_off,0,SVG Files To PNG,31.263,s
all_mit_off,0,SVG Files To PNG,31.273,s
all_mit_off,1,SVG Files To PNG,32.969,s
all_mit_off,1,SVG Files To PNG,31.442,s
all_mit_off,1,SVG Files To PNG,31.326,s
all_mit_off,2,sqlite_ops,73.882,s
all_mit_off,2,sqlite_ops,71.528,s
all_mit_off,2,sqlite_ops,72.907,s
all_mit_off,3,syscall,0.0602,microseconds
all_mit_off,3,read,0.1166,microseconds
all_mit_off,3,write,0.0982,microseconds
all_mit_off,3,stat,0.4851,microseconds
all_mit_off,3,fstat,0.1487,microseconds
all_mit_off,3,open_close,0.807,microseconds
all_mit_off,3,select_10,0.2358,microseconds
all_mit_off,3,select_100,0.9877,microseconds
all_mit_off,3,select_250,2.2327,microseconds
all_mit_off,3,select_500,4.3373,microseconds
all_mit_off,3,select_10,0.264,microseconds
all_mit_off,3,select_100,2.3786,microseconds
all_mit_off,3,select_250,5.9092,microseconds
all_mit_off,3,select_500,11.9138,microseconds
all_mit_off,3,pipe_latency,93.6717,microseconds
all_mit_off,3,unix_sock_stream_latency,47.3932,microseconds
all_mit_off,3,fork_exit,181.2647,microseconds
all_mit_off,3,fork_execve,857.8571,microseconds
all_mit_off,3,fork_bin_sh,1780.6667,microseconds
all_mit_off,4,syscall,0.0608,microseconds
all_mit_off,4,read,0.1155,microseconds
all_mit_off,4,write,0.0991,microseconds
all_mit_off,4,stat,0.483,microseconds
all_mit_off,4,fstat,0.1492,microseconds
all_mit_off,4,open_close,0.8088,microseconds
all_mit_off,4,select_10,0.2345,microseconds
all_mit_off,4,select_100,0.9882,microseconds
all_mit_off,4,select_250,2.2354,microseconds
all_mit_off,4,select_500,4.3409,microseconds
all_mit_off,4,select_10,0.2641,microseconds
all_mit_off,4,select_100,2.3703,microseconds
all_mit_off,4,select_250,5.9348,microseconds
all_mit_off,4,select_500,11.8722,microseconds
all_mit_off,4,pipe_latency,64.0289,microseconds
all_mit_off,4,unix_sock_stream_latency,66.1325,microseconds
all_mit_off,4,fork_exit,174.0625,microseconds
all_mit_off,4,fork_execve,843.4286,microseconds
all_mit_off,4,fork_bin_sh,1774.0,microseconds
all_mit_off,5,syscall,0.0612,microseconds
all_mit_off,5,read,0.1156,microseconds
all_mit_off,5,write,0.0991,microseconds
all_mit_off,5,stat,0.4822,microseconds
all_mit_off,5,fstat,0.1479,microseconds
all_mit_off,5,open_close,0.7981,microseconds
all_mit_off,5,select_10,0.2375,microseconds
all_mit_off,5,select_100,0.9899,microseconds
all_mit_off,5,select_250,2.2391,microseconds
all_mit_off,5,select_500,4.346,microseconds
all_mit_off,5,select_10,0.2653,microseconds
all_mit_off,5,select_100,2.387,microseconds
all_mit_off,5,select_250,5.9424,microseconds
all_mit_off,5,select_500,11.9446,microseconds
all_mit_off,5,pipe_latency,62.0131,microseconds
all_mit_off,5,unix_sock_stream_latency,39.0851,microseconds
all_mit_off,5,fork_exit,170.5161,microseconds
all_mit_off,5,fork_execve,848.2857,microseconds
all_mit_off,5,fork_bin_sh,1722.5,microseconds
basline,0,SVG Files To PNG,33.297,s
basline,0,SVG Files To PNG,31.829,s
basline,0,SVG Files To PNG,31.749,s
basline,1,syscall,0.2393,microseconds
basline,1,read,0.2957,microseconds
basline,1,write,0.2715,microseconds
basline,1,stat,0.657,microseconds
basline,1,fstat,0.3329,microseconds
basline,1,open_close,1.1668,microseconds
basline,1,select_10,0.4162,microseconds
basline,1,select_100,1.1574,microseconds
basline,1,select_250,2.4246,microseconds
basline,1,select_500,4.5257,microseconds
basline,1,select_10,0.4371,microseconds
basline,1,select_100,2.5847,microseconds
basline,1,select_250,6.1153,microseconds
basline,1,select_500,12.034,microseconds
basline,1,pipe_latency,106.2907,microseconds
basline,1,unix_sock_stream_latency,32.8129,microseconds
basline,1,fork_exit,192.3571,microseconds
basline,1,fork_execve,910.2857,microseconds
basline,1,fork_bin_sh,1807.6667,microseconds
basline,2,syscall,0.2393,microseconds
basline,2,read,0.2968,microseconds
basline,2,write,0.2817,microseconds
basline,2,stat,0.6641,microseconds
basline,2,fstat,0.3221,microseconds
basline,2,open_close,1.1738,microseconds
basline,2,select_10,0.4201,microseconds
basline,2,select_100,1.1724,microseconds
basline,2,select_250,2.4057,microseconds
basline,2,select_500,4.5511,microseconds
basline,2,select_10,0.4369,microseconds
basline,2,select_100,2.6011,microseconds
basline,2,select_250,6.1331,microseconds
basline,2,select_500,12.0547,microseconds
basline,2,pipe_latency,101.6747,microseconds
basline,2,unix_sock_stream_latency,106.2364,microseconds
basline,2,fork_exit,181.303,microseconds
basline,2,fork_execve,875.1667,microseconds
basline,2,fork_bin_sh,1733.3333,microseconds
basline,3,SVG Files To PNG,33.02,s
basline,3,SVG Files To PNG,31.534,s
basline,3,SVG Files To PNG,31.579,s
basline,4,sqlite_ops,72.096,s
basline,4,sqlite_ops,73.052,s
basline,4,sqlite_ops,73.208,s
basline,5,syscall,0.2327,microseconds
basline,5,read,0.2968,microseconds
basline,5,write,0.2757,microseconds
basline,5,stat,0.6628,microseconds
basline,5,fstat,0.3392,microseconds
basline,5,open_close,1.1622,microseconds
basline,5,select_10,0.4228,microseconds
basline,5,select_100,1.1712,microseconds
basline,5,select_250,2.4339,microseconds
basline,5,select_500,4.5383,microseconds
basline,5,select_10,0.4567,microseconds
basline,5,select_100,2.5877,microseconds
basline,5,select_250,6.5355,microseconds
basline,5,select_500,12.1118,microseconds
basline,5,pipe_latency,55.1587,microseconds
basline,5,unix_sock_stream_latency,68.4634,microseconds
basline,5,fork_exit,188.8889,microseconds
basline,5,fork_execve,878.8333,microseconds
basline,5,fork_bin_sh,1780.6667,microseconds
retpoline_generic,0,syscall,0.2641,microseconds
retpoline_generic,0,read,0.3289,microseconds
retpoline_generic,0,write,0.3112,microseconds
retpoline_generic,0,stat,0.7326,microseconds
retpoline_generic,0,fstat,0.3679,microseconds
retpoline_generic,0,open_close,1.296,microseconds
retpoline_generic,0,select_10,0.4249,microseconds
retpoline_generic,0,select_100,1.1696,microseconds
retpoline_generic,0,select_250,2.4502,microseconds
